"","bblid"
"19",80208
"22",80225
"27",80265
"47",80402
"63",80498
"98",80698
"116",80796
"130",80886
"143",80964
"211",81401
"238",81560
"243",81598
"254",81662
"269",81751
"285",81840
"286",81852
"296",81906
"301",81934
"315",82003
"325",82063
"327",82087
"339",82161
"340",82164
"344",82175
"347",82186
"369",82293
"384",82383
"396",82464
"401",82492
"410",82548
"417",82579
"423",82613
"432",82663
"433",82668
"444",82784
"460",82867
"461",82870
"467",82887
"479",82962
"489",83013
"491",83021
"495",83044
"498",83068
"517",83188
"524",83247
"526",83260
"554",83429
"565",83480
"568",83501
"572",83522
"574",83531
"576",83540
"580",83556
"589",83612
"595",83648
"603",83691
"651",83978
"663",84044
"665",84050
"674",84098
"675",84103
"678",84118
"686",84156
"687",84159
"714",84320
"722",84352
"723",84354
"730",84382
"733",84394
"736",84412
"752",84485
"758",84508
"777",84615
"784",84664
"787",84673
"790",84695
"802",84758
"803",84761
"806",84769
"834",84942
"835",84948
"838",84967
"840",84973
"844",85005
"855",85054
"856",85057
"859",85069
"873",85133
"881",85178
"882",85181
"887",85212
"891",85242
"903",85289
"917",85392
"925",85433
"931",85464
"934",85475
"938",85481
"939",85483
"946",85530
"947",85533
"951",85568
"980",85715
"984",85743
"988",85768
"991",85788
"993",85803
"994",85806
"997",85820
"1001",85862
"1026",86023
"1031",86061
"1034",86076
"1052",86201
"1053",86212
"1066",86287
"1078",86383
"1080",86389
"1093",86473
"1127",86707
"1151",86847
"1153",86856
"1163",86914
"1166",86932
"1178",87021
"1187",87064
"1194",87105
"1197",87122
"1212",87195
"1215",87215
"1216",87222
"1233",87325
"1234",87328
"1235",87333
"1237",87339
"1239",87346
"1246",87413
"1256",87449
"1257",87457
"1260",87470
"1263",87495
"1271",87530
"1272",87538
"1286",87610
"1293",87655
"1294",87659
"1295",87670
"1301",87705
"1313",87764
"1317",87789
"1319",87795
"1340",87930
"1348",87965
"1351",87987
"1355",88013
"1362",88055
"1364",88064
"1369",88092
"1373",88120
"1374",88123
"1384",88162
"1390",88184
"1392",88190
"1394",88209
"1397",88229
"1398",88241
"1400",88254
"1403",88283
"1431",88434
"1434",88451
"1435",88461
"1441",88486
"1465",88618
"1470",88657
"1473",88672
"1479",88702
"1497",88806
"1504",88844
"1543",89063
"1565",89170
"1576",89226
"1578",89248
"1587",89297
"1589",89306
"1622",89514
"1639",89627
"1672",89821
"1673",89823
"1674",89826
"1687",89898
"1688",89906
"1709",90027
"1715",90050
"1716",90060
"1721",90077
"1727",90113
"1741",90195
"1766",90367
"1771",90395
"1774",90406
"1784",90479
"1790",90514
"1794",90538
"1798",90555
"1822",90736
"1832",90765
"1840",90791
"1843",90815
"1845",90825
"1850",90865
"1855",90892
"1860",90946
"1862",90964
"1872",91059
"1882",91121
"1920",91332
"1930",91393
"1933",91413
"1937",91434
"1962",91544
"1994",91726
"1998",91753
"2000",91759
"2013",91820
"2019",91848
"2034",91924
"2036",91933
"2043",91970
"2067",92077
"2082",92155
"2100",92267
"2104",92287
"2112",92321
"2139",92474
"2148",92521
"2173",92637
"2178",92669
"2188",92743
"2200",92845
"2202",92860
"2209",92896
"2221",92947
"2229",93009
"2240",93063
"2241",93068
"2247",93119
"2250",93127
"2253",93147
"2257",93161
"2267",93209
"2274",93242
"2275",93248
"2289",93280
"2291",93282
"2298",93292
"2302",93309
"2304",93321
"2309",93336
"2310",93341
